"filename", "language", "C++", "C", "JSON with Comments", "Python", "Java", "Shell Script", "comment", "blank", "total"
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 3_6.cpp", "C++", 11, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 3_7.cpp", "C++", 17, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 3_8.cpp", "C++", 19, 0, 0, 0, 0, 0, 0, 2, 21
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 3_9.cpp", "C++", 8, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 4_10.cpp", "C++", 14, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 4_11.cpp", "C++", 15, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 4_13.cpp", "C++", 9, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 4_14.cpp", "C++", 9, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 4_15.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 2, 2
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 4_18.cpp", "C++", 17, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 4_8.cpp", "C++", 12, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 4_9.cpp", "C++", 12, 0, 0, 0, 0, 0, 0, 3, 15
